CDIAC Number,Issuer,Issuance Documents,Sold Status,Sale Date,ADTR Report,ADTR Filing Status,ADTR Reportable,ADTR Reportable Next Fiscal Year,ADTR Last Reported Year,Debt Policy,Issuer County,MKR Authority,Local Obligation,MKR CDIAC Number,Issuer Group,Issuer Type,Project Name,Principal Amount,New Money,Refunding Amount,Net Issue Discount/Premium,Debt Type,Purpose,Source of Repayment,TIC Interest Rate,NIC Interest Rate,Interest Type,Other Interest Type,Federally Taxable,First Optional Call Date,Final Maturity Date,CAB Flag,S and P Rating,Moody Rating,Fitch Rating,Other Rating,Guarantor Flag,Guarantor,Sale Type (Comp/Neg),Private Placement Flag,Underwriter,Lender,Purchaser,Placement Agent,Financial Advisor,Co-Financial Advisor,Bond Counsel Fee,Bond Counsel,Co-Bond Counsel,Disclosure Counsel,Borrower Counsel,Trustee,Issue Costs Pct of Principal Amt,Total Issuance Costs,UW Takedown,UW Mngmt Fee,UW Expenses,UW Total Discount/Spread,Placement Agent Fee,Financial Advisor Fee,Co-Bond Counsel Fee,Disclosure Counsel Fee,Borrower Counsel Fee,Trustee Fee,Credit Enhancement Fee,Rating Agency Fee,Other Issuance Expenses
1988-0441,Livermore Valley Joint Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,08/02/1988 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Interim Financing,3500000,3500000,0,0,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Tax increment,,6.18,NIC,,,,08/10/1989 12:00:00 AM,NO,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Bank of California,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Jones Hall Hill & White,,,,,0.07,2450,0,0,0,2450,0,0,0,0,0,0,0,0,0
2005-0640,Alameda County Industrial Development Authority,2005-0640.pdf (http://cdiacdocs.sto.ca.gov/2005-0640.pdf),SOLD,06/01/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Industrial Development  Authority,Convergent Laser Technologies Series A,3300000,3300000,0,,Conduit revenue bond,Industrial Development,Private obligor payments,,,VAR,,Subject to Alternative Minimum Tax,09/01/2005 12:00:00 AM,06/01/2030 12:00:00 AM,NO,S:A/A-1,NOT RATED,NOT RATED,NOT RATED,LOC,Comerica Bank,Neg,Unknown,E J De La Rosa & Company Inc,,,,Progressive Capital,,28500,Lofton & Jennings,,,,Wells Fargo Bank National Association,6.35,209481,,,,,,73750,,,,,45126,11000,51105
1985-0734,Pleasanton Joint School District,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,07/30/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,,1500000,1500000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Property tax revenues,,5.867,NIC,,,,07/29/1986 12:00:00 AM,N/A,NOT RATED,M:MIG2,NOT RATED,NOT RATED,,,Neg,Unknown,Kelling & Co,,,,,,,Jones Hall Hill & White,,,,,0,0,,,,10000,,,,,,,,,
1985-0737,San Leandro Unified School District,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,07/30/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,,2600000,2600000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Property tax revenues,,5.585,NIC,,,,07/29/1986 12:00:00 AM,N/A,NOT RATED,M:MIG2,NOT RATED,NOT RATED,,,Neg,Unknown,Kelling & Co,,,,,,,Jones Hall Hill & White,,,,,0,0,,,,10000,,,,,,,,,
1993-0509,Livermore,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,05/10/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,AD No 1993-3,975000,0,975000,,Special assessment bond,Street Construction and Improvements,Special assessments,,8.05,NIC,,Federally Taxable,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Mark Pressman Associates,,,,,,,Sturgis Ness Brunsell & Assaf,,,,,0.15,1500,,,,7875,,,,,,,,,
1986-0198,Pleasanton,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,05/01/1986 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,5115000,0,5115000,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,7.528,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,A R Altura & Company,,,,,,,Sturgis Ness Brunsell & Sperry,,,,,1.06,54138,,,,153450,,,,,,,,,
1994-1476,Livermore Valley Joint Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,09/21/1994 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Interim Financing,4500000,4500000,0,0,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,4.15,,TIC,,,,09/29/1995 12:00:00 AM,NO,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Comp,Unknown,Smith Barney Inc,,,,Government Financial Strategies Inc,,0,Kronick Moskovitz Tiedemann & Girard,,,,Alameda County,0.97,43503,0,0,0,36630,0,0,0,0,0,0,0,0,6873
1993-1951,Newark,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,11/18/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,AD No 29,8015000,0,8015000,,Special assessment bond,Street Construction and Improvements,Special assessments,,5.795,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Wedbush Morgan Securities Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,,Sturgis Ness Brunsell & Assaf,,,,,3.28,262566,,,,90169,,,,,,,,,
1992-0516,San Lorenzo Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/03/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,,4000000,4000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Property tax revenues,,3.443,NIC,,,,06/30/1993 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Comp,Unknown,Prudential Securities,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,,0,0,,,,3840,,,,,,,,,
1986-0452,Oakland,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/31/1986 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,39000000,39000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,5.458,NIC,,,,08/06/1987 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Wells Fargo Bank National Association,,,,Charles A Bell,,,Brown & Wood,,,,,0,0,,,,24500,,,,,,,,,
1995-0381,San Lorenzo Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/02/1995 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,,5000000,5000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.904,NIC,,,,07/05/1996 12:00:00 AM,N/A,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,Bank of America NT & SA,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,Alameda County,0.33,16649,,,,0,,,,,,,,,
2005-1393,Livermore Valley Joint Unified School District,2005-1393.pdf (http://cdiacdocs.sto.ca.gov/2005-1393.pdf),SOLD,07/12/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,School Facilities,30000000,30000000,0,462367,General obligation bond,K-12 School Facility,Property tax revenues,,4.273,NIC,,,08/01/2014 12:00:00 AM,08/01/2030 12:00:00 AM,NO,S:AAA/A+,NOT RATED,NOT RATED,NOT RATED,Ins,Financial Guaranty Insurance Company,Comp,Unknown,Morgan Stanley Dean Witter,,,,Government Financial Strategies Inc,,34860,Jones Hall A Professional Law Corp,,,,U.S. Bank National Association,1.54,462367,0,0,0,302167,0,46700,0,0,0,1000,63300,10125,4215
1997-1171,Alameda County,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,07/08/1997 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Counties,County Government,,110000000,110000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.9,NIC,,,,07/08/1998 12:00:00 AM,N/A,S:SP-1+,M:MIG1,F:F-1+,NOT RATED,,,Neg,Unknown,Redwood Securities Group Inc,,,,The Knight Group,,,Harrison Taylor & Brazile,,,,US Trust Company of California NA,0,0,,,,0,,,,,,,,,
2010-0554,Eden Township Healthcare District,2010-0554.pdf (http://cdiacdocs.sto.ca.gov/2010-0554.pdf),SOLD,06/16/2010 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Special Districts,Hospital District,Eden Hosp Health Services Corp,18940000,2668511,16271489,-228785.8,Certificates of participation/leases,Health Care Facilities,Private obligor payments,6.088,,TIC,,,06/01/2020 12:00:00 AM,06/01/2034 12:00:00 AM,NO,NOT RATED,NOT RATED,F:BBB,NOT RATED,,,Neg,Unknown,BC Ziegler & Company,,,,G L Hicks Financial,,45000,Quint & Thimmig LLP,,,,The Bank of New York Mellon Trust Company NA,2.25,426986.01,,,,221966.25,,11440.3,,28000,,1700,,15000,103879.46
1992-1139,Alameda City Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,08/25/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,,38845000,0,38845000,,General obligation bond,K-12 School Facility,General fund of issuing jurisdiction,,,,,,,,N/A,S:AAA,M:Aaa,NOT RATED,NOT RATED,Ins,Unknown,Neg,Unknown,Sutro & Company Inc,,,,,,,Brown & Wood,,,,,0,0,,,,0,,,,,,,,,
1995-1610,Fremont,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/05/1995 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Durham Greens,14595000,0,14595000,,Conduit revenue bond,Multifamily Housing,Private obligor payments,,,,,,,01/01/2026 12:00:00 AM,N/A,S:AAA,NOT RATED,NOT RATED,NOT RATED,Oth,Federal National Mortgage Association,Neg,Unknown,Newman & Associates,,,,CGMS Inc,,,Stradling Yocca Carlson & Rauth,,,,US Trust Company of California NA,0,0,,,,0,,,,,,,,,
1993-1075,Livermore Valley Joint Unified School District,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,08/24/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Interim Financing,3500000,3500000,0,0,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,2.887,,TIC,,,,08/31/1994 12:00:00 AM,NO,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Comp,Unknown,A H Williams & Company,,,,Government Financial Strategies Inc,,0,Kronick Moskovitz Tiedemann & Girard,,,,,1.8,63090.29,0,0,0,0,0,0,0,0,0,0,0,0,63090.29
1992-1654,ABAG Finance Corporation,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,02/17/1993 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,JPA & Marks-Roos,Joint Powers Agency,Santa Cruz,4870000,597300,4272700,,Certificates of participation/leases,Public Building,General fund of issuing jurisdiction,,5.103,NIC,,,,,N/A,S:A,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Wedbush Morgan Securities Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,,0,0,,,,38960,,,,,,,,,
1990-0454,Fremont,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,06/19/1990 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,LID No 42,252702,252702,0,,Special assessment bond,"Flood Control, Storm Drainage",Special assessments,,7.615,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Mark Pressman Associates,,,,,,,Sturgis Ness Brunsell & Sperry,,,,,11.48,29000,,,,11400,,,,,,,,,
1985-0393,Fremont,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,08/06/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,LID No 25,15516241,15516241,0,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,9.545,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,,,Sturgis Ness Brunsell & Sperry,,,,,0,0,,,,0,,,,,,,,,
1992-1188,Livermore,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,09/14/1992 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,First St/I-580 AD No 91-1,530800,530800,0,,Special assessment bond,Street Construction and Improvements,Special assessments,,8.538,NIC,,Federally Taxable,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Mark Pressman Associates,,,,,,,Sturgis Ness Brunsell & Sperry,,,,,0,0,,,,0,,,,,,,,,
1985-0731,Livermore Valley Joint Unified School District,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,07/30/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Interim Financing,3000000,3000000,0,0,Tax and revenue anticipation note,"Cash Flow, Interim Financing",Property tax revenues,,5.083,NIC,,,,07/29/1986 12:00:00 AM,NO,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Kelling & Co,,,,,,0,Jones Hall Hill & White,,,,,0.33,10000,0,0,0,10000,0,0,0,0,0,0,0,0,0
1999-0267,San Leandro Unified School District,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,04/05/1999 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,,3514900,0,3514900,,Certificates of participation/leases,K-12 School Facility,General fund of issuing jurisdiction,,4.701,NIC,,,,04/06/2010 12:00:00 AM,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Zions Bank,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall A Professional Law Corp,,,,Zions Bank,0.94,33000,,,,0,,,,,,,,,
1994-0502,Alameda City Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,05/31/1994 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,,5000000,5000000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.701,NIC,,,,07/05/1995 12:00:00 AM,N/A,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,A H Williams & Company,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,,0.44,22122,,,,20651,,,,,,,,,
1984-0989,Alameda,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,01/15/1985 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,Marina Village AD No 84-3,15300000,15300000,0,,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,10.355,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,Stone & Youngberg,,,,,,,Jones Hall Hill & White,,,,,0.47,72000,,,,612000,,,,,,,,,
1994-0608,San Lorenzo Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/02/1994 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,,6800000,6800000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,3.751,NIC,,,,07/05/1995 12:00:00 AM,N/A,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,Prudential Securities,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,,0.32,21495,,,,45000,,,,,,,,,
1988-0640,Pleasanton,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,10/04/1988 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,North Pleasanton ID No 3 AD No 1986-9,23931729,23931729,0,,Special assessment bond,"Multiple Capital Improvements, Public Works",Tax increment,,7.817,NIC,,,,,N/A,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,Prudential BacheSecurities Inc,,,,Stone & Youngberg,,,Sturgis Ness Brunsell & Sperry,,,,,1.06,253494,,,,318107,,,,,,,,,
1999-1386,Emeryville,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,06/25/1999 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,YES,1999-0733,Cities,City Government,E Baybridge Ctr AD No 1993-1 (Taxable),6000000,0,6000000,0,Special assessment bond,"Multiple Capital Improvements, Public Works",Special assessments,,7.198,NIC,,Federally Taxable,09/01/2009 12:00:00 AM,09/02/2021 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,,,Emeryville Public Financing Authority,,,,0,Quint & Thimmig LLP,,,,Harris Trust Company of California,3.59,215230,0,0,215230,215230,0,0,0,0,0,0,0,0,0
2016-0796,Emeryville Redevelopment Agency,2016-0796.pdf (http://cdiacdocs.sto.ca.gov/2016-0796.pdf),SOLD,08/12/2004 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,YES,2004-1355,Cities,Redevelopment Agency,Housing,17500000,17500000,0,0,Marks-Roos Authority Loan,"Redevelopment, Multiple Purposes",Tax increment,,4.536,,,,09/01/2014 12:00:00 AM,09/01/2034 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,Unknown,,Emeryville Public Financing Authority,,,,,0,Quint & Thimmig LLP,,,,BNY Mellon Capital Markets LLC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989-0611,Albany,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,07/25/1989 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,,1700000,1700000,0,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,6.361,NIC,,,,08/02/1990 12:00:00 AM,N/A,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Bank of California,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,,0,0,,,,0,,,,,,,,,
2002-1279,Fremont-Newark Community College District (CCCFA),Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,06/03/2002 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,Community College District,CCCFA 2002 TRAN Pool Series A,2500000,2500000,,,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,1.803,NIC,,,,06/30/2003 12:00:00 AM,N/A,S:SP-1+,NOT RATED,NOT RATED,NOT RATED,Ins,Financial Security Assurance Inc,Neg,Unknown,Lehman Brothers,,,,RBC Dain Rauscher,,,Stradling Yocca Carlson & Rauth,,,,Wells Fargo Bank National Association,,,,,,,,,,,,,,,
1990-0625,Livermore Valley Joint Unified School District,None Submitted (http://cdiacdocs.sto.ca.gov/NoneSubmitted.pdf),SOLD,07/19/1990 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,Interim Financing,3700000,3700000,0,0,Tax and revenue anticipation note,"Cash Flow, Interim Financing",General fund of issuing jurisdiction,,6.061,NIC,,,,07/30/1991 12:00:00 AM,NO,NOT RATED,M:MIG1,NOT RATED,NOT RATED,,,Neg,Unknown,Shearson Lehman Hutton Inc,,,,KNN/Kelling Northcross & Nobriga Inc,,0,Jones Hall Hill & White,,,,,0.12,4300,0,0,0,0,0,0,0,0,0,0,0,0,4300
1998-0139,Hayward,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,03/26/1998 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,City Government,The Timbers,9500000,9500000,0,,Conduit revenue bond,Multifamily Housing,Private obligor payments,,,VAR,,,,03/01/2033 12:00:00 AM,N/A,NOT RATED,M:Aa2/VMIG1,NOT RATED,NOT RATED,LOC,Chase Manhattan Bank,Neg,Unknown,PaineWebber Inc,,,,CGMS Inc,,,Jones Hall A Professional Law Corp,,,,First Trust of California NA,1.41,133500,,,,0,,,,,,,,,
2005-1642,Livermore Redevelopment Agency,2005-1642.pdf (http://cdiacdocs.sto.ca.gov/2005-1642.pdf),SOLD,11/17/2005 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,Cities,Redevelopment Agency,Heritage Estates Series A,29800000,0,29800000,,Conduit revenue bond,Multifamily Housing,Private obligor payments,,,VAR,,Subject to Alternative Minimum Tax,,07/01/2037 12:00:00 AM,NO,NOT RATED,NOT RATED,NOT RATED,NOT RATED,,,Neg,YES,,,Newman & Associates,,CSG Advisors,,,Jones Hall A Professional Law Corp,,,,Union Bank of California,,,,,,,,,,,,,,,
1989-1124,San Leandro Unified School District,Pending (http://cdiacdocs.sto.ca.gov/Pending.pdf),SOLD,12/18/1989 12:00:00 AM,No Report (http://cdiacdocs.sto.ca.gov/NoReport.pdf),N/A (http://cdiacdocs.sto.ca.gov/ADTRFilingStatus.pdf),N,N/A,,,Alameda,NO,NO,,K-14 Schools,K-12 School District,,2380000,2089619,290381,,Certificates of participation/leases,"Other, Multiple Educational Uses (Equipment, etc.)",General fund of issuing jurisdiction,,6.629,NIC,,,,,N/A,S:A-,NOT RATED,NOT RATED,NOT RATED,,,Comp,Unknown,Bank of California,,,,KNN/Kelling Northcross & Nobriga Inc,,,Jones Hall Hill & White,,,,,0.75,17851.03,,,,29715.02,,,,,,,,,
